Year,Sydney Annual Salary - Median,Rest of NSW Annual Salary - Median,Net Median Salary - NSW,Melbourne Annual Salary - Median,Rest of VIC Annual Salary - Median,Net Median Salary - VIC,Brisbane Annual Salary - Median,Rest of QLD Annual Salary - Median,Net Median Salary - QLD,Adelaide Annual Salary - Median,Rest of SA Annual Salary - Median,Net Median Salary - South Australia,Perth Annual Salary - Median,Rest of WA Annual Salary - Median,Net Median Salary - WA,Hobart Annual Salary - Median,Rest of TAS Annual Salary - Median,Net Median Salary - TAS,Darwin Annual Salary - Median,Rest of NT Annual Salary - Median,Net Median Salary - NT,Canberra Annual Salary - Median ,Net Median Salary - ACT
2003,42 811,33 360,39 648,38 762,31 412,36 882,35 775,32 243,33 965,34 728,30 357,33 623,36 523,34 553,36 048,33 021,30 091,31 358,39 437,34 466,37 665,42 841,42 834
2004,44 799,34 774,41 433,40 368,32 720,38 421,37 461,33 944,35 655,36 229,31 586,35 061,38 712,36 679,38 219,34 118,31 199,32 467,42 222,35 983,40 016,45 932,45 922
2005,46 425,36 307,43 032,41 840,34 041,39 861,39 597,35 879,37 680,37 521,32 894,36 357,41 095,38 932,40 575,35 660,32 527,33 903,43 723,37 618,41 589,47 071,47 061
2006,48 428,37 717,44 850,43 302,35 188,41 260,41 720,37 867,39 735,38 936,34 534,37 830,43 785,41 428,43 226,37 065,33 898,35 288,45 014,39 278,43 027,49 122,49 116
2007,50 136,39 114,46 513,44 837,36 478,42 782,43 893,39 586,41 687,40 546,36 302,39 492,46 804,44 266,46 199,38 563,35 541,36 874,47 298,41 251,45 216,51 393,51 387
2008,52 325,41 600,48 793,47 351,38 830,45 246,46 814,42 311,44 501,43 056,38 418,41 896,51 125,48 238,50 438,41 435,37 808,39 398,50 189,43 986,48 049,54 756,54 747
2009,54 354,43 992,50 943,49 342,40 786,47 363,49 251,44 835,47 054,45 357,39 497,44 141,53 864,50 235,53 227,43 863,39 898,41 673,53 055,46 606,50 746,,57 749
2010,57 612,46 514,53 917,52 470,43 072,50 276,52 171,47 571,49 863,47 862,41 665,46 551,58 181,54 168,57 365,45 671,41 800,43 521,55 788,49 768,54 082,,60 987
2011,61 508,48307,56932,56943,45710,54193,56593,50796,53611,52235,45842,50826,64765,58014,63391,49647,44306,46677,61616,54706,59612,65548,65550
2012,64 075,50 177,59304,58825,46856,55933,59059,53559,56230,54425,46455,52676,69250,62152,67820,51645,45973,48511,68726,58749,63157,68307,68311
2013,66 353,51 635,61340,60467,48769,57668,60587,54562,57492,56109,48977,54551,70700,64433,69445,53136,47547,50056,68726,58749,65975,69986,69989
2014,67 806,52 933,62798,61785,50116,59019,61578,55430,58433,57028,50390,55586,70354,65748,71472,54569,49015,51517,71185,59232,67910,70804,70807
2015,69 696,54 107,64493,63236,50699,60350,62247,55923,59056,57754,50351,56194,70348,64145,69133,55430,49660,52259,73649,61586,70005,73244,73234
2016,70 300,54 859,65196,64279,52193,61489,62788,56328,59534,58566,51950,57157,67673,68713,63421,55948,50023,52720,73134,60238,69438,73327,73326